Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2014/12/22, 17:00:00, 17903, 18019, 17893, 17983, 70270, 50864, 33626, 36644
2014/12/23, 17:00:00, 17974, 18031, 17965, 17986, 20190, 14972, 9910, 10280
2014/12/25, 17:00:00, 17988, 18051, 17988, 18023, 23745, 17317, 11904, 11841
2014/12/28, 17:00:00, 18024, 18036, 17941, 18005, 56759, 41990, 28947, 27812
2014/12/29, 17:00:00, 18005, 18006, 17889, 17937, 62416, 44820, 31382, 31034
2014/12/30, 17:00:00, 17937, 17984, 17739, 17755, 69506, 47010, 36295, 33211
2015/1/1, 17:00:00, 17781, 17884, 17655, 17729, 124877, 95189, 62473, 62404
2015/1/4, 17:00:00, 17726, 17746, 17392, 17466, 181167, 128499, 92181, 88986
2015/1/5, 17:00:00, 17470, 17502, 17176, 17292, 256940, 174471, 129485, 127455
2015/1/6, 17:00:00, 17309, 17524, 17300, 17518, 183418, 127245, 90440, 92978
2015/1/7, 17:00:00, 17515, 17846, 17514, 17809, 151432, 104899, 72508, 78924
2015/1/8, 17:00:00, 17811, 17864, 17612, 17645, 196150, 132086, 98395, 97755
2015/1/11, 17:00:00, 17647, 17753, 17491, 17581, 178047, 117880, 90867, 87180
2015/1/12, 17:00:00, 17586, 17854, 17416, 17556, 274026, 177916, 137354, 136672
2015/1/13, 17:00:00, 17542, 17568, 17183, 17389, 327861, 225290, 162047, 165814
2015/1/14, 17:00:00, 17396, 17533, 17190, 17241, 297412, 209481, 149670, 147742
2015/1/15, 17:00:00, 17220, 17458, 17125, 17434, 219109, 154194, 107629, 111480
2015/1/18, 17:00:00, 17442, 17524, 17345, 17394, 33391, 25528, 17150, 16241
2015/1/19, 17:00:00, 17396, 17536, 17271, 17418, 197956, 131926, 97814, 100142
2015/1/20, 17:00:00, 17418, 17535, 17325, 17497, 178733, 131762, 89012, 89721
2015/1/21, 17:00:00, 17493, 17776, 17410, 17745, 187311, 130214, 91591, 95720
2015/1/22, 17:00:00, 17739, 17795, 17576, 17584, 133794, 95496, 67028, 66766
2015/1/25, 17:00:00, 17518, 17631, 17432, 17622, 124446, 88709, 61555, 62891
2015/1/26, 17:00:00, 17615, 17629, 17215, 17402, 212445, 154241, 108480, 103965
2015/1/27, 17:00:00, 17400, 17488, 17093, 17127, 208999, 151316, 106203, 102796
2015/1/28, 17:00:00, 17127, 17438, 17062, 17414, 232477, 161530, 117187, 115290
2015/1/29, 17:00:00, 17421, 17424, 17082, 17107, 241829, 168075, 122371, 119458
2015/2/1, 17:00:00, 17108, 17315, 16962, 17285, 229179, 162715, 113988, 115191
2015/2/2, 17:00:00, 17282, 17600, 17214, 17587, 183853, 126342, 90415, 93438
2015/2/3, 17:00:00, 17582, 17712, 17507, 17523, 175801, 121956, 90707, 85094
2015/2/4, 17:00:00, 17524, 17821, 17492, 17798, 131901, 94616, 65219, 66682
2015/2/5, 17:00:00, 17795, 17893, 17704, 17796, 147010, 105187, 74155, 72855
2015/2/8, 17:00:00, 17770, 17770, 17624, 17686, 120327, 85092, 61093, 59234
2015/2/9, 17:00:00, 17692, 17831, 17658, 17801, 116362, 82997, 58521, 57841
2015/2/10, 17:00:00, 17802, 17949, 17719, 17909, 124644, 89324, 64204, 60440
2015/2/11, 17:00:00, 17890, 17946, 17778, 17922, 117389, 84899, 58535, 58854
2015/2/12, 17:00:00, 17929, 18009, 17913, 17990, 95800, 68038, 48209, 47591
2015/2/15, 17:00:00, 17972, 18001, 17922, 17943, 22949, 15110, 11931, 11018
2015/2/16, 17:00:00, 17920, 18024, 17891, 18019, 102521, 71259, 51616, 50905
2015/2/17, 17:00:00, 18009, 18028, 17953, 17987, 89459, 61464, 44420, 45039
2015/2/18, 17:00:00, 17986, 18038, 17896, 17967, 103983, 71803, 52895, 51088
2015/2/19, 17:00:00, 17967, 18121, 17853, 18111, 159526, 108244, 79131, 80395
2015/2/22, 17:00:00, 18112, 18113, 18034, 18087, 70814, 50419, 35058, 35756
2015/2/23, 17:00:00, 18082, 18207, 18076, 18190, 93298, 63277, 44901, 48397
2015/2/24, 17:00:00, 18190, 18219, 18159, 18191, 75824, 51415, 38058, 37766
2015/2/25, 17:00:00, 18190, 18228, 18143, 18203, 96753, 65401, 48566, 48187
